raw descriptor,level_3,level_2,level_1
brown_sugar,brown_sugar,caramel,caramel
bubbl_gum,bubble_gum,tropical_fruit,fruit
bubblegum,bubblegum,tropical_fruit,fruit
bulki,bulky,high_tannin,tannin
bullish,bullish,full_bodied,body
buoy,buoyant,high_acid,acid
buoyant,buoyant,high_acid,acid
burn,burnt,toasted,woody
burnt,burnt,toasted,woody
burnt_toast,burnt_toast,toasted,woody
butter,butter,lactic,microbial
butteri,butter,lactic,microbial
butter_nut,butter_nut,nutty,nutty
butter_popcorn,butter_popcorn,caramel,caramel
buttercream,buttercream,caramel,caramel
butterscotch,butterscotch,caramel,caramel
butter_toast,buttery_toast,toasted,woody
cake,cake,biscuit,caramel
cake_spice,cake_spice,baking_spices,spice
campfir,campfire,toasted,woody
camphor,camphor,oil,earth_inorganic
candl_wax,candle_wax,oil,earth_inorganic
candi,candy,tropical_fruit,fruit
confect,candy,tropical_fruit,fruit
confectionari_note,candy,tropical_fruit,fruit
caramel,caramel,caramel,caramel
caramel_sugar,caramel,caramel,caramel
cardamom,cardamom,baking_spices,spice
carob,carob,chocolate,caramel
cashew,cashew,nutty,nutty
cassi,cassis,dark_fruit,fruit
cantaloup,cataloupe,melon,fruit
cedar,cedar,resinous,woody
cedari,cedar,resinous,woody
celeri,celery,vegetable,vegetal
cement,cement,rocks,earth_inorganic
chalk,chalk,rocks,earth_inorganic
chalk_soil,chalk,rocks,earth_inorganic
chalki,chalk,rocks,earth_inorganic
chamomil,chamomile,flowery,flower
charcoal,charcoal,graphite,earth_inorganic
char_wood,charred_wood,toasted,woody
chees,cheese,lactic,microbial
cheesi,cheese,lactic,microbial
chemic,chemical,petroleum,earth_inorganic
bing_cherri,cherry,red_fruit,fruit
cherri,cherry,red_fruit,fruit
cherryberri,cherry,red_fruit,fruit
morello_cherri,cherry,red_fruit,fruit
redcherri,cherry,red_fruit,fruit
sour_cherri,cherry,red_fruit,fruit
wild_cherri,cherry,red_fruit,fruit
cherri_liqueur,cherry_liqueur,red_fruit,fruit
pie_cherri,cherry_pie,biscuit,caramel
chewi,chewi,medium_tannin,tannin
bitter_chocol,chocolate,chocolate,caramel
bittersweet_chocol,chocolate,chocolate,caramel
chocol,chocolate,chocolate,caramel
chocolatey,chocolate,chocolate,caramel
chocolati,chocolate,chocolate,caramel
choppi,choppy,high_tannin,tannin
blocki,chunky,full_bodied,body
chunki,chunky,full_bodied,body
solid_chunki,chunky,full_bodied,body
cider,cider,tree_fruit,fruit
cigar,cigar,toasted,woody
cigar_box,cigar_box,toasted,woody
cinnamon,cinnamon,baking_spices,spice
citric,citrus,citrus_fruit,fruit
citrus,citrus,citrus_fruit,fruit
citrusi,citrus,citrus_fruit,fruit
lemon_lime,citrus,citrus_fruit,fruit
lemonlim,citrus,citrus_fruit,fruit
lemonlim_acid,citrus_acid,high_acid,acid
citrus_peel,citrus_peel,citrus_fruit,fruit
citrus_rind,citrus_peel,citrus_fruit,fruit
citrus_zest,citrus_peel,citrus_fruit,fruit
citrus_pith,citrus_pith,citrus_fruit,fruit
clampi,clampy,full_bodied,body
classi,classy,low_tannin,tannin
clay,clay,rocks,earth_inorganic
clean,clean,high_acid,acid
close,closed,high_complexity,complexity
compact,closed,high_tannin,tannin
closegrain_tannin,close-grained_tannin,low_tannin,tannin
clove,clove,baking_spices,spice
clove_cinnamon,clove_cinnamon,baking_spices,spice
cloy,cloying,very_sweet,sweetness
coars,coarse,high_tannin,tannin
cocoa,cocoa,chocolate,caramel
cocoa_powder,cocoa,chocolate,caramel
dust_cocoa,cocoa,chocolate,caramel
coconut,coconut,resinous,woody
coffe,coffee,toasted,woody
coffe_bean,coffee,toasted,woody
coffe_ground,coffee,toasted,woody
coffe_mocha,coffee,toasted,woody
espresso,coffee,toasted,woody
licoric_espresso,coffee,toasted,woody
mocha,coffee,toasted,woody
roast_coffe,coffee,toasted,woody
cola,cola,baking_spices,spice
streak_cola,cola,baking_spices,spice
complex,complex,high_complexity,complexity
complic,complicated,high_complexity,complexity
compost,compost,soil,earth_organic
compot,compote,red_fruit,fruit
concentr,concentrated,high_concentration,concentration
deepli_concentr,concentrated,high_concentration,concentration
concret,concrete,rocks,earth_inorganic
cook,cooked,dried_fruit,fruit
cook_spice,cooked_spice,baking_spices,spice
cooki,cookie,biscuit,caramel
corn,corn,vegetable,vegetal
cotton_candi,cotton_candy,red_fruit,fruit
cracker,cracker,biscuit,caramel
cranberri,cranberry,red_fruit,fruit
cranberri_pomegran,cranberry_pomegranate,red_fruit,fruit
cream,cream,lactic,microbial
creami,cream,lactic,microbial
creamytextur,creamy,lactic,microbial
crème_brulee,crème_brulee,caramel,caramel
crisp,crisp,high_acid,acid
crisper,crisp,high_acid,acid
crispli,crisp,high_acid,acid
crispli_defin,crisp,high_acid,acid
crunchi,crunchy,high_acid,acid
cucumb,cucumber,vegetable,vegetal
charcuteri,cured_meat,meat,sulfides
cure_meat,cured_meat,meat,sulfides
currant,currant,dark_fruit,fruit
custard,custard,caramel,caramel
cut_grass,cut_grass,fresh_herbs,vegetal
dainti,dainty,light_bodied,body
dark,dark,color,visual
dark_color,dark,color,visual
darkberri,dark_berry,dark_fruit,fruit
darkskin_berri,dark_berry,dark_fruit,fruit
dark_chocol,dark_chocolate,chocolate,caramel
darkfruit,dark_fruit,dark_fruit,fruit
deep_color,deep_color,color_intensity,visual
dens,dense,high_concentration,concentration
dens_pack,dense,high_concentration,concentration
densiti,dense,high_concentration,concentration
deep,depth,high_complexity,complexity
depth,depth,high_complexity,complexity
diesel,diesel,petroleum,earth_inorganic
dill,dill,fresh_herbs,vegetal
dilut,diluted,low_concentration,concentration
dr_pepper,dr_pepper,baking_spices,spice
dri_herb,dried_herb,fresh_herbs,vegetal
dri,dry,dry,sweetness
drier,dry,dry,sweetness
dryness,dry,dry,sweetness
dull,dull,low_concentration,concentration
dust,dust,soil,earth_organic
dusti,dust,soil,earth_organic
earth,earth,soil,earth_organic
earthi,earth,soil,earth_organic
sunbak_earth,earth,soil,earth_organic
earthier,earthy,soil,earth_organic
eas,easy,low_complexity,complexity
easi_sip,easy,low_complexity,complexity
edg,edgy,high_acid,acid
edgi,edgy,high_acid,acid
effervesc,effervescent,sparkling,style
elderberri,elderberry,dark_fruit,fruit
elderflow,elderflower,flowery,flower
eleg,elegant,light_bodied,body
espresso_bean,espresso,toasted,woody
eucalyptus,eucalyptus,leaves,vegetal
expans,expansive,high_complexity,complexity
extract,extracted,full_bodied,body
exuber,exuberant,high_acid,acid
fat,fat,high_concentration,concentration
feminin,feminine,light_bodied,body
fennel,fennel,vegetable,vegetal
feral,feral,animal,brettanomyces
fig,fig,dried_fruit,fruit
alongsid_finegrain,finegrained_tannin,low_tannin,tannin
finegrain,finegrained_tannin,low_tannin,tannin
finegrain_tannin,finegrained_tannin,low_tannin,tannin
finess,finessed,high_complexity,complexity
firm,firm,high_tannin,tannin
fizz,fizz,sparkling,style
flabbi,flabby,low_acid,acid
flashi,flashy,high_acid,acid
bit_flat,flat,low_acid,acid
flat,flat,low_acid,acid
fleet_tannin,fleeting_tannin,low_tannin,tannin
fleshi,fleshy,high_tannin,tannin
flint,flint,rocks,earth_inorganic
flinti,flint,rocks,earth_inorganic
bouquet,flower,flowery,flower
floral,flower,flowery,flower
flower,flower,flowery,flower
floweri,flower,flowery,flower
foami,foamy,sparkling,style
foam,foamy,sparkling,style
forest_floor,forest_floor,undergrowth,earth_organic
forestfloor,forest_floor,undergrowth,earth_organic
foresti,forest_floor,undergrowth,earth_organic
leafi_underbrush,forest_floor,undergrowth,earth_organic
foxi,foxy,animal,brettanomyces
french_oak,french_oak,resinous,woody
fresh,fresh,high_acid,acid
freshen,fresh,high_acid,acid
fresher,fresh,high_acid,acid
frothi,frothy,sparkling,style
fruit,fruit,fruity,fruit
fruiti,fruit,fruity,fruit
orchard_fruit,fruit,fruity,fruit
fruitdriven,fruit-forward,fruity,fruit
fruitforward,fruit-forward,fruity,fruit
fruit_bomb,fruity,fruity,fruit
fruitier,fruity,fruity,fruit
fullfruit,fruity,fruity,fruit
fudg,fudge,caramel,caramel
ampl_weight,full_bodied,full_bodied,body
bold,full_bodied,full_bodied,body
full_bodi,full_bodied,full_bodied,body
fullbodi,full_bodied,full_bodied,body
soupi,full_bodied,full_bodied,body
weighti,full_bodied,full_bodied,body
funk,funky,barnyard,brettanomyces
funki,funky,barnyard,brettanomyces
game,game,meat,sulfides
gami,game,meat,sulfides
ginger,ginger,baking_spices,spice
gingerbread,gingerbread,baking_spices,spice
gold,gold,color,visual
gold_color,gold,color,visual
golden,gold,color,visual
golden_color,gold,color,visual
gooseberri,gooseberry,red_fruit,fruit
grabbi,grabby,high_tannin,tannin
graham_cracker,graham_cracker,biscuit,caramel
grain,grain,resinous,woody
wood_grain,grain,resinous,woody
graini,grainy,high_tannin,tannin
graini_tannin,grainy,high_tannin,tannin
granit,granite,rocks,earth_inorganic
grapefru,grapefruit,citrus_fruit,fruit
grapefruit,grapefruit,citrus_fruit,fruit
pink_grapefruit,grapefruit,citrus_fruit,fruit
pinkgrapefruit,grapefruit,citrus_fruit,fruit
white_grapefruit,grapefruit,citrus_fruit,fruit
grapefruit_peel,grapefruit_peel,citrus_fruit,fruit
grapefruit_zest,grapefruit_peel,citrus_fruit,fruit
grapefruit_pith,grapefruit_pith,citrus_fruit,fruit
grapey,grapey,red_fruit,fruit
grapi,grapey,red_fruit,fruit
graphit,graphite,graphite,earth_inorganic
grass,grass,fresh_herbs,vegetal
grassi,grass,fresh_herbs,vegetal
gravel,gravel,rocks,earth_inorganic
gravelli,gravel,rocks,earth_inorganic
green,green,color,visual
green_banana,green_banana,tropical_fruit,fruit
green_bean,green_bean,vegetable,vegetal
greenfruit,green_fruit,tree_fruit,fruit
green_pepper,green_pepper,vegetable,vegetal
green_peppercorn,green_pepper,pepper,spice
ground_pepper,green_pepper,pepper,spice
grill_herb,grilled_herbs,fresh_herbs,vegetal
char_meat,grilled_meat,meat,sulfides
grill_meat,grilled_meat,meat,sulfides
grill_peach,grilled_peach,stone_fruit,fruit
grip,gripping,high_tannin,tannin
tannic_grip,gripping_tannin,high_tannin,tannin
grippi,grippy,high_tannin,tannin
grit,gritty,high_tannin,tannin
gritti,gritty,high_tannin,tannin
guava,guava,tropical_fruit,fruit
gummi,gummy,red_fruit,fruit
ham,ham,meat,sulfides
hard,hard,high_tannin,tannin
hay,hay,dried_herbs,vegetal
hazelnut,hazelnut,nutty,nutty
headi,heady,high_alcohol,alcohol
hearti,hearty,full_bodied,body
heavi,heavy,full_bodied,body
heavier,heavy,full_bodied,body
heavyweight,heavy,full_bodied,body
garden_herb,herb,fresh_herbs,vegetal
herb,herb,fresh_herbs,vegetal
herbal,herb,fresh_herbs,vegetal
herbac,herbacious,fresh_herbs,vegetal
chop_herb,herbs,fresh_herbs,vegetal
herbal_compon,herbs,fresh_herbs,vegetal
hibiscus,hibiscus,flowery,flower
hickori,hickory,resinous,woody
hickori_smoke,hickory_smoke,toasted,woody
high_acid,high_acid,high_acid,acid
highacid,high_acid,high_acid,acid
bigger,high_alcohol,high_alcohol,alcohol
high_alcohol,high_alcohol,high_alcohol,alcohol
highoctan,high_alcohol,high_alcohol,alcohol
sizabl_tannin,high_tannin,high_tannin,tannin
tannic_bite,high_tannin,high_tannin,tannin
tannic_backbon,high_tannin,high_tannin,tannin
hollow,hollow,low_concentration,concentration
honey,honey,honey,caramel
honeycomb,honeycomb,honey,caramel
honeydew,honeydew,melon,fruit
honeydew_melon,honeydew,melon,fruit
honeysuckl,honeysuckle,honey,caramel
horsey,horsey,barnyard,brettanomyces
alcohol_heat,hot,high_alcohol,alcohol
heat,hot,high_alcohol,alcohol
heat_evid,hot,high_alcohol,alcohol
hot,hot,high_alcohol,alcohol
huckleberri,huckleberry,dark_fruit,fruit
incens,incense,toasted,woody
indian_spice,indian_spice,baking_spices,spice
inki,inky,fruity,fruit
iodin,iodine,salinity,salinity
iron,iron,metal,earth_inorganic
jag,jagged,high_tannin,tannin
jalapeÃ±o,jalapeno,vegetable,vegetal
jalapeÃ£Â±o,jalapeno,vegetables,vegetal
jam,jam,red_fruit,fruit
jammi,jam,red_fruit,fruit
jasmin,jasmine,flowery,flower
jelli,jelly,red_fruit,fruit
juic,juicy,fruity,fruit
juici,juicy,fruity,fruit
junip,juniper,leaves,vegetal
kirsch,kirsch,red_fruit,fruit
kiwi,kiwi,tropical_fruit,fruit
kumquat,kumquat,citrus_fruit,fruit
lactic,lactic,lactic,microbial
lanolin,lanolin,oil,earth_inorganic
latex,latex,rubber,earth_inorganic
lavend,lavender,flowery,flower
lavish,lavish,high_complexity,complexity
leaf,leafy,leaves,vegetal
leafi,leafy,leaves,vegetal
leafi_herbal,leafy,leaves,vegetal
lean,lean,high_acid,acid
leaner,lean,high_acid,acid
rather_lean,lean,light_bodied,body
leather,leather,leather,sulfides
leatheri,leather,leather,sulfides
new_leather,leather,leather,sulfides
lee,lees,yeasty,microbial
leesi,lees,yeasty,microbial
lemon,lemon,citrus_fruit,fruit
lemon_juic,lemon,citrus_fruit,fruit
lemon_oil,lemon,citrus_fruit,fruit
lemoni,lemon,citrus_fruit,fruit
meyer_lemon,lemon,citrus_fruit,fruit
squeez_lemon,lemon,citrus_fruit,fruit
lemon_blossom,lemon_blossom,citrus_fruit,fruit
lemon_curd,lemon_curd,citrus_fruit,fruit
lemon_custard,lemon_custard,caramel,caramel
lemon_drop,lemon_drop,citrus_fruit,fruit
lemon_meringu,lemon_meringue,caramel,caramel
lemon_peel,lemon_peel,citrus_fruit,fruit
lemon_rind,lemon_peel,citrus_fruit,fruit
lemon_zest,lemon_peel,citrus_fruit,fruit
lemon_pith,lemon_pith,citrus_fruit,fruit
lemon_verbena,lemon_verbena,citrus_fruit,fruit
lemongrass,lemongrass,fresh_herbs,vegetal
length,length,long_finish,finish
lengthi,lengthy,long_finish,finish
long_mouthwat,lengthy,long_finish,finish
longlast,lengthy,long_finish,finish
lettuc,lettuce,vegetable,vegetal
black_licoric,licorice,baking_spices,spice
licoric,licorice,baking_spices,spice
licoric_root,licorice,baking_spices,spice
lightest,light,light_bodied,body
light,light_bodied,light_bodied,body
light_bodi,light_bodied,light_bodied,body
lightbodi,light_bodied,light_bodied,body
lighter,light_bodied,light_bodied,body
lighter_style,light_bodied,light_bodied,body
lightfoot,light_bodied,light_bodied,body
lightweight,light_bodied,light_bodied,body
thin,light_bodied,light_bodied,body
lighter_color,light_color,color_intensity,visual
lilac,lilac,flowery,flower
key_lime,lime,citrus_fruit,fruit
lime,lime,citrus_fruit,fruit
lime_juic,lime,citrus_fruit,fruit
lime_leaf,lime,citrus_fruit,fruit
squeez_lime,lime,citrus_fruit,fruit
lime_peel,lime_peel,citrus_fruit,fruit
lime_rind,lime_peel,citrus_fruit,fruit
lime_skin,lime_peel,citrus_fruit,fruit
lime_zest,lime_peel,citrus_fruit,fruit
lime_pith,lime_pith,citrus_fruit,fruit
limeston,limestone,rocks,earth_inorganic
linear,linear,low_complexity,complexity
loam,loamy,soil,earth_organic
loami,loamy,soil,earth_organic
low_acid,low_acid,low_acid,acid
light_feet,low_alcohol,low_alcohol,alcohol
low_alcohol,low_alcohol,low_alcohol,alcohol
lowalcohol,low_alcohol,low_alcohol,alcohol
straightforward,low_complexity,low_complexity,complexity
lumin,luminous,color_intensity,visual
lush,lush,full_bodied,body
luxuri,luxurious,full_bodied,body
lyche,lychee,tropical_fruit,fruit
mace,mace,baking_spices,spice
mandarin,mandarin,citrus_fruit,fruit
mango,mango,tropical_fruit,fruit
peach_mango,mango,tropical_fruit,fruit
mapl,maple,resinous,woody
mapl_syrup,maple_syrup,caramel,caramel
marjoram,marjoram,fresh_herbs,vegetal
marmalad,marmalade,citrus_fruit,fruit
marshmallow,marshmallow,caramel,caramel
masculin,masculine,high_tannin,tannin
mass,mass,full_bodied,body
matchstick,matchstick,sulfur,sulfides
meali,mealy,low_acid,acid
meat,meat,meat,sulfides
meati,meaty,high_tannin,tannin
medicin,medicinal,medicinal,brettanomyces
mediterranean_herb,meditteranean_herbs,fresh_herbs,vegetal
oregano_thyme,meditteranean_herbs,fresh_herbs,vegetal
medium_bodi,medium_bodied,medium_bodied,body
medium_fullbodi,medium_bodied,medium_bodied,body
medium_weight,medium_bodied,medium_bodied,body
mediumbodi,medium_bodied,medium_bodied,body
mediumweight,medium_bodied,medium_bodied,body
medium_length,medium_length_finish,medium_length_finish,finish
mediumlength_finish,medium_length_finish,medium_length_finish,finish
mediumsweet,medium_sweet,sweet,sweetness
semisweet,medium_sweet,sweet,sweetness
moder_tannic,medium_tannin,medium_tannin,tannin
mellow,mellow,low_concentration,concentration
melon,melon,melon,fruit
melon_fig,melon,melon,fruit
meloni,melon,melon,fruit
melon_rind,melon_rind,melon,fruit
melt_butter,melted_butter,lactic,microbial
menthol,menthol,fresh_herbs,vegetal
metal,metal,metal,earth_inorganic
mild_bitter,mild_bitterness,medium_tannin,tannin
milk_chocol,milk_chocolate,chocolate,caramel
mineraldriven,mineral,rocks,earth_inorganic
crystallin,minerality,rocks,earth_inorganic
miner,minerality,rocks,earth_inorganic
stoni_miner,minerality,rocks,earth_inorganic
chop_mint,mint,fresh_herbs,vegetal
mint,mint,fresh_herbs,vegetal
minti,mint,fresh_herbs,vegetal
wild_mint,mint,fresh_herbs,vegetal
modest,modest,low_complexity,complexity
moist_earth,moist_earth,soil,earth_organic
molass,molasses,caramel,caramel
moss,moss,undergrowth,earth_organic
mossi,moss,undergrowth,earth_organic
mouss,mousse,sparkling,style
mulberri,mulberry,dark_fruit,fruit
mulchi,mulch,soil,earth_organic
murki,murky,color_intensity,visual
muscular,muscular,high_tannin,tannin
mushroom,mushroom,mushroom,earth_organic
mushroomi,mushroom,mushroom,earth_organic
muski,musky,animal,brettanomyces
mustard,mustard,baking_spices,spice
nectar,nectar,flowery,flower
nectarin,nectarine,stone_fruit,fruit
nectarin_zest,nectarine,citrus_fruit,fruit
nervi,nervy,high_acid,acid
nettl,nettle,leaves,vegetal
neutral_oak,neutral_oak,resinous,woody
new_oak,new_oak,resinous,woody
new_wood,new_wood,resinous,woody
nut,nut,nutty,nutty
nutti,nut,nutty,nutty
nutmeg,nutmeg,baking_spices,spice
barrel,oak,resinous,woody
barrel_influenc,oak,resinous,woody
barrel_select,oak,resinous,woody
barrelfer,oak,resinous,woody
heavili_oak,oak,resinous,woody
oak,oak,resinous,woody
oak_influenc,oak,resinous,woody
oak_treatment,oak,resinous,woody
oakbas,oak,resinous,woody
oaki,oak,resinous,woody
barrel_sampl,oak,oak,woody
oakdriven_spice,oak,oak,woody
oakdriven,oak-driven,resinous,woody
ocean,ocean,salinity,salinity
offdri,off-dry,dry,sweetness
offdri_style,off-dry,dry,sweetness
oil,oil,oil,earth_inorganic
slight_oili,oil,oil,earth_inorganic
unctuous,oil,oil,earth_inorganic
oili,oily,oil,earth_inorganic
olallieberri,olallieberry,dark_fruit,fruit
black_oliv,olive,vegetable,vegetal
green_oliv,olive,vegetable,vegetal
oliv,olive,vegetable,vegetal
tapenad,olive,vegetable,vegetal
onedimension,one_dimensional,low_complexity,complexity
opul,opulent,full_bodied,body
mandarin_orang,orange,citrus_fruit,fruit
orang,orange,citrus_fruit,fruit
orang_tangerin,orange,citrus_fruit,fruit
orang_blossom,orange_blossom,flowery,flower
orang_marmalad,orange_marmalade,citrus_fruit,fruit
orang_peel,orange_peel,citrus_fruit,fruit
orang_rind,orange_peel,citrus_fruit,fruit
orang_zest,orange_peel,citrus_fruit,fruit
oregano,oregano,fresh_herbs,vegetal
overoak,over-oaked,resinous,woody
overrip,overripe,fruity,fruit
oxid,oxidized,color,visual
pale,pale,color_intensity,visual
pale_color,pale_color,color,visual
papaya,papaya,tropical_fruit,fruit
passion_fruit,passion_fruit,tropical_fruit,fruit
passionfruit,passion_fruit,tropical_fruit,fruit
pastri,pastry,biscuit,caramel
pea,pea,vegetable,vegetal
peach,peach,stone_fruit,fruit
peach_melon,peach,stone_fruit,fruit
peach_nectarin,peach,stone_fruit,fruit
peachi,peach,stone_fruit,fruit
white_peach,peach,stone_fruit,fruit
whitepeach,peach,stone_fruit,fruit
yellow_peach,peach,stone_fruit,fruit
peach_pit,peach_pit,stone_fruit,fruit
peanut,peanut,nutty,nutty
anjou_pear,pear,tree_fruit,fruit
asian_pear,pear,tree_fruit,fruit
bosc_pear,pear,tree_fruit,fruit
pear,pear,tree_fruit,fruit
pear_flesh,pear,tree_fruit,fruit
poach_pear,pear,tree_fruit,fruit
bartlett_pear,pear,tree_fruit,fruit
cedar_pencil,pencil_lead,graphite,earth_inorganic
pencil_lead,pencil_lead,graphite,earth_inorganic
pencil_shave,pencil_shaving,graphite,earth_inorganic
crack_pepper,pepper,pepper,spice
pepper,pepper,pepper,spice
pepper_bridg,pepper,pepper,spice
peppercorn,pepper,pepper,spice
pepperi,pepper,pepper,spice
pepperi_spice,peppery,pepper,spice
perfum,perfumed,flowery,flower
persimmon,persimmon,tropical_fruit,fruit
petal,petal,flowery,flower
petrol,petrol,petroleum,earth_inorganic
phenol,phenolic,high_tannin,tannin
pickl,pickled,high_acid,acid
pie,pie,biscuit,caramel
pierc,piercing,high_acid,acid
pillowi,pillowy,low_tannin,tannin
pine,pine,resinous,woody
pine_forest,pine,leaves,vegetal
pine_needl,pine,leaves,vegetal
pineappl,pineapple,tropical_fruit,fruit
pink,pink,color,visual
pink_color,pink_color,color,visual
pith,pith,citrus_fruit,fruit
pithi,pith,citrus_fruit,fruit
plastic,plastic,petroleum,earth_inorganic
pleasant_bitter,pleasant_bitter,medium_tannin,tannin
black_plum,plum,dark_fruit,fruit
blackplum,plum,dark_fruit,fruit
mirabell_plum,plum,dark_fruit,fruit
plum,plum,dark_fruit,fruit
plum_skin,plum,dark_fruit,fruit
plummi,plum,dark_fruit,fruit
plumskin,plum,dark_fruit,fruit
plump,plump,full_bodied,body
plush,plush,low_tannin,tannin
alongsid_polish,polished,low_tannin,tannin
polish,polished,low_tannin,tannin
pollen,pollen,flowery,flower
pomegran,pomegranate,red_fruit,fruit
pop,pop,high_acid,acid
popcorn,popcorn,caramel,caramel
potpourri,potpourri,flowery,flower
powderi,powdery,low_tannin,tannin
power,powerful,high_concentration,concentration
preserv_lemon,preserved_lemon,citrus_fruit,fruit
prick,prickly,sparkling,style
prune,prune,dried_fruit,fruit
pruney,prune,dried_fruit,fruit
prune_raisin,prune_raisin,dried_fruit,fruit
puckeri,puckery,high_acid,acid
pulpi,pulpy,fruity,fruit
punchi,punchy,high_concentration,concentration
pungent,pungent,high_alcohol,alcohol
purpl,purple,color,visual
purpl_color,purple,color,visual
purpl_flower,purple_flower,flowery,flower
pyrazin,pyrazines,vegetable,vegetal
quaffer,quaffer,low_complexity,complexity
quinc,quince,tree_fruit,fruit
raci,racy,high_acid,acid
raisin,raisin,dried_fruit,fruit
raisini,raisin,dried_fruit,fruit
raisin_prune,raisin_prune,dried_fruit,fruit
crush_raspberri,raspberry,red_fruit,fruit
raspberri,raspberry,red_fruit,fruit
raspberri_compot,raspberry,red_fruit,fruit
raspberri_jam,raspberry,red_fruit,fruit
raspi,raspy,high_tannin,tannin
redberri,red_berry,red_fruit,fruit
forest_berri,red_berry,red_fruit,fruit
red_currant,red_currant,red_fruit,fruit
redcurr,red_currant,red_fruit,fruit
